speaker,text,words,contains_question
JUSTICE JACKSON,Is that just because it has been -- those kinds of assessments have been given to the arbitrator and sometimes even at the court's direction?,25,TRUE
MR. UNIKOWSKY,"I don't think so. When the court confirms an arbitration award, the court isn't independently assessing, for example, whether the arbitrator's award furthers the goals of Title VII or the ADA or whatever federal statutory claims are being advanced.   The court isn't sort of taking a second look at -- at the merits. All the court is doing is assessing whether the arbitrator exceeded its authority under the arbitration agreement and engaged in certain specified types of misconduct.      So I think that the degree of judicial involvement under the -- on Section 9 and 10 is much less than what this Court has said is necessary to justify the court transforming a -- a pure settlement into a consent decree. So that's why I don't think that analogy carries over.",130,FALSE
JUSTICE KAVANAUGH,"The Second Circuit and the district court both thought that our statement in Cortez Byrd kind of made this simple because, there, we said, ""We have, however, previously held that the court with the power to stay the action under Section 3 has the further power to confirm any ensuing arbitration award."" So I know you're going to say that was out of context and -- but that statement on its own would resolve this, wouldn't it?",77,TRUE
MR. UNIKOWSKY,"On its own, that statement is favorable to Respondents.    And I'm going to say what you said I was going to say -- (Laughter.)",24,FALSE
MR. UNIKOWSKY,"-- which is that if you read that whole paragraph, it's actually making a very different point which I think ultimately supports our position, which is that Congress wouldn't have intended a court's ability to -- to -- to decide a Section 9 or 10 application to turn on whether there was a preexisting suit on file, right? So the question in Cortez Byrd was one of venue, whether venue existed only in the jurisdiction in which the arbitration occurred or was broader than that.      And the proponent of narrow venue conceded in that case that if there was a Section 3 stay, that court could exercise jurisdiction over the Section 9 and 10 application but argued for a different result if there was no Section 3 stay.",128,TRUE
JUSTICE KAVANAUGH,Different question.   Section 10 in state court. Thoughts?,8,TRUE
MR. UNIKOWSKY,"Yes.    So, I mean, we view Sections 9 and 10 as -- as joined at the hip.   Like, Section 9 refers to confirming the award unless there's a Section 10 vacatur.",31,FALSE
JUSTICE KAVANAUGH,The standards set forth in Section 10.,7,FALSE
MR. UNIKOWSKY,Oh.    The Court reserved that question in -- in Badgerow.,10,FALSE
JUSTICE KAVANAUGH,Yeah.   What are your thoughts?,5,TRUE
MR. UNIKOWSKY,"My thoughts are that it doesn't have to be exactly identical to the federal standard, but if the Court --",20,FALSE
JUSTICE KAVANAUGH,Does it have to be close?,6,TRUE
MR. UNIKOWSKY,"Pretty close.   Like, if the court authorized de --",9,FALSE
JUSTICE KAVANAUGH,Pretty close?,2,TRUE
MR. UNIKOWSKY,"Yeah.   Basically, pretty close.    I mean, the Court hasn't addressed this.    Look, if the state court authorizes de novo review of an arbitration award --",25,FALSE
JUSTICE KAVANAUGH,"Because the state court theoretically could have very different standards.    Then the arbitration award's thrown out.   But then the new suit, again, back to Justice Thomas's first question -- not the new suit -- the suit comes back to federal court then after the state court's thrown out the arbitration award.",51,FALSE
MR. UNIKOWSKY,"So, typically, that's not --",5,FALSE
JUSTICE KAVANAUGH,Isn't that a strange system?,5,TRUE
MR. UNIKOWSKY,"I don't think it would come back to federal court.    Typically, what would happen is they would arbitrate the claim again.   Like, the effect of, for instance --",28,FALSE
JUSTICE KAVANAUGH,"Well, it depends what the state court said in tossing the arbitration award, right?",14,TRUE
MR. UNIKOWSKY,"Well, not really because, if the federal court -- if the case is arbitrable, then -- and the state court says there's some defect in the arbitration proceeding, but the case is still arbitrable, you'd presumably go back and rearbitrate. Theoretically, the parties, for example, might stipulate that if the award is vacated, they're just going to give up on arbitration, and then they could go back to federal court, either file a Rule 60 motion, or the federal court could opt to wait to dismiss the case until the state court's proceedings are done and it could be reactivated in federal court.",103,FALSE
JUSTICE KAGAN,Do states have pretty close standards?,6,TRUE
